title,price,original_price,discount_percent,currency,availability,url,retailer,category,scraped_at
"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",21990.0,33090.0,33.5,INR,In Stock,https://www.flipkart.com/midea-torrino-wqp12-5201f-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmad0527c553818?pid=DSWFTGTEBADWYXKU&lid=LSTDSWFTGTEBADWYXKURQKBZY&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&spotlightTagId=default_FkPickId_j9e%2Fm38%2F58n&srno=s_1_1&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFTGTEBADWYXKU.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.296144+00:00
Midea MDWTT0802D(B)IN Free Standing 8 Place Settings Dishwasher,16990.0,27090.0,37.3,INR,In Stock,https://www.flipkart.com/midea-mdwtt0802d-b-in-free-standing-8-place-settings-dishwasher/p/itm74feb54ca1884?pid=DSWH88FFTTRZ8HEG&lid=LSTDSWH88FFTTRZ8HEGHI8YVU&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_2&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWH88FFTTRZ8HEG.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.327981+00:00
BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,42900.0,52690.0,18.6,INR,In Stock,https://www.flipkart.com/bosch-sms66gw01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfdzsgahybprgb?pid=DSWFDZSG7MCTU3GY&lid=LSTDSWFDZSG7MCTU3GYU21UYW&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_3&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFDZSG7MCTU3GY.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.350904+00:00
Voltas Beko by  A TATA Product DT8S Free Standing 8 Place Settings Dishwasher,15990.0,23390.0,31.6,INR,In Stock,https://www.flipkart.com/voltas-beko-tata-product-dt8s-free-standing-8-place-settings-dishwasher/p/itmceaa7028fab05?pid=DSWFSMDHWANNZDKG&lid=LSTDSWFSMDHWANNZDKGCTDU3N&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_4&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFSMDHWANNZDKG.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.376574+00:00
Midea MDWPF1301F(B)IN Free Standing 13 Place Settings Dishwasher,23990.0,33090.0,27.5,INR,In Stock,https://www.flipkart.com/midea-mdwpf1301f-b-in-free-standing-13-place-settings-dishwasher/p/itma1f11bc75e392?pid=DSWH88FFFHW9NW5M&lid=LSTDSWH88FFFHW9NW5M4Y2OSY&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_5&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWH88FFFHW9NW5M.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.410401+00:00
Voltas Beko by  A TATA Product DT8B Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,17522.0,28990.0,39.6,INR,In Stock,https://www.flipkart.com/voltas-beko-tata-product-dt8b-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme6f0ac298c7f5?pid=DSWFV5G7ANRAJ2NZ&lid=LSTDSWFV5G7ANRAJ2NZM9WANQ&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_6&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFV5G7ANRAJ2NZ.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.444679+00:00
Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,15990.0,25790.0,38.0,INR,In Stock,https://www.flipkart.com/midea-wqp8-3802d-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itm1bd5652ffb04b?pid=DSWG3CY9BN2VDDFQ&lid=LSTDSWG3CY9BN2VDDFQOYC6HY&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_7&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWG3CY9BN2VDDFQ.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.477937+00:00
BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,45700.0,56390.0,19.0,INR,In Stock,https://www.flipkart.com/bosch-sms66gi01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfckgbrraznm6r?pid=DSWFCKGBUZZGHJP9&lid=LSTDSWFCKGBUZZGHJP9GLSFKG&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_8&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFCKGBUZZGHJP9.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.511967+00:00
Voltas Beko by  A TATA Product DF14S3 Free Standing 14 Place Settings Dishwasher,29890.0,33990.0,12.1,INR,In Stock,https://www.flipkart.com/voltas-beko-tata-product-df14s3-free-standing-14-place-settings-dishwasher/p/itm49e7866b3e048?pid=DSWGHGJJKZW4ADZK&lid=LSTDSWGHGJJKZW4ADZKZKLRB9&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_9&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGHGJJKZW4ADZK.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.544838+00:00
BOSCH SMS6IKW01I Home Connect Free Standing 14 Place Settings Dishwasher,45000.0,55990.0,19.6,INR,In Stock,https://www.flipkart.com/bosch-sms6ikw01i-home-connect-free-standing-14-place-settings-dishwasher/p/itm44fa838963fda?pid=DSWHFN9M9AFVEFDJ&lid=LSTDSWHFN9M9AFVEFDJ7JLFVT&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_10&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHFN9M9AFVEFDJ.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.578539+00:00
