title,brand,price,original_price,discount,currency,availability,rating,url,retailer,scraped_at
AUGEN Mobile Accessories,AUGEN,0.0,0.0,(65% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-mobile-accessories/40989885/buy,myntra.com,2026-04-22T17:01:33.230273+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-fashion-mobile-accessories/40066967/buy,myntra.com,2026-04-22T17:01:33.357998+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(29% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39888777/buy,myntra.com,2026-04-22T17:01:33.456005+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(15% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39783055/buy,myntra.com,2026-04-22T17:01:33.562810+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(19% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39783054/buy,myntra.com,2026-04-22T17:01:33.701409+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(20% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39783037/buy,myntra.com,2026-04-22T17:01:33.809680+00:00
Palay Bumper Case Mobile Accessories,Palay,0.0,0.0,(47% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-bumper-case-mobile-accessories/39722834/buy,myntra.com,2026-04-22T17:01:33.924746+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(12% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39722828/buy,myntra.com,2026-04-22T17:01:34.015487+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(21% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39722822/buy,myntra.com,2026-04-22T17:01:34.189059+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(21% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39722820/buy,myntra.com,2026-04-22T17:01:34.270032+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(46% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39722819/buy,myntra.com,2026-04-22T17:01:34.326777+00:00
Palay Bumper Case Mobile Accessories,Palay,0.0,0.0,(21% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-bumper-case-mobile-accessories/39704703/buy,myntra.com,2026-04-22T17:01:34.386994+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(21% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39704700/buy,myntra.com,2026-04-22T17:01:34.440855+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(10% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39704699/buy,myntra.com,2026-04-22T17:01:34.489233+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(30% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39704678/buy,myntra.com,2026-04-22T17:01:34.543495+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(23% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39704677/buy,myntra.com,2026-04-22T17:01:34.592000+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(12% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39704672/buy,myntra.com,2026-04-22T17:01:34.637844+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686275/buy,myntra.com,2026-04-22T17:01:34.694756+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686272/buy,myntra.com,2026-04-22T17:01:34.819005+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686271/buy,myntra.com,2026-04-22T17:01:34.892212+00:00
Desigual Pouch Mobile Accessories,Desigual,0.0,0.0,(40% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/desigual/desigual-abstract-pouch-mobile-accessories/37642782/buy,myntra.com,2026-04-22T17:01:34.974010+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(45% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-printed-pouch-mobile-accessories/39680381/buy,myntra.com,2026-04-22T17:01:35.056057+00:00
